epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,2895.6,1.99331,0.46048,0.11236,1.28209,0.98654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082925,0.00082925,0.00082925
36,2978.1,1.94252,0.41454,0.14384,1.21549,0.94985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000816875,0.000816875,0.000816875
37,3060.53,2.04301,0.49563,0.12468,1.30451,0.96063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008045,0.0008045,0.0008045
38,3141.54,2.01653,0.46194,0.15258,1.19507,1.00443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792125,0.000792125,0.000792125
39,3223.72,2.04352,0.53822,0.14557,1.30351,0.93787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077975,0.00077975,0.00077975
40,3305.96,2.06556,0.38409,0.13178,1.25316,0.95831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000767375,0.000767375,0.000767375
41,3387.19,2.02509,0.36656,0.11167,1.41315,0.98031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755,0.000755,0.000755
42,3468.85,2.02893,0.426,0.11548,1.2103,0.96107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000742625,0.000742625,0.000742625
43,3550.18,2.00081,0.41424,0.12024,1.26156,0.93489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073025,0.00073025,0.00073025
44,3631.56,1.99926,0.40888,0.10291,1.24479,0.95346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717875,0.000717875,0.000717875
45,3712.82,1.91785,0.37148,0.10891,1.13879,0.97736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007055,0.0007055,0.0007055
46,3795.83,2.03266,0.40143,0.11489,1.18692,0.9633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000693125,0.000693125,0.000693125
